Temp,Mo@liq,Si@liq,Ti@liq,Mo@motisi,Si@moti5si3,Ti@moti5si3
747,0.324168,0.00278029,0.673052,0.135469,0.3749,0.489631
746,0.324445,0.00275306,0.672802,0.135525,0.374901,0.489574
745,0.324723,0.00272604,0.672551,0.135581,0.374902,0.489516
744,0.325,0.00269924,0.672301,0.135638,0.374903,0.489459
743,0.325277,0.00267265,0.67205,0.135694,0.374904,0.489402
742,0.325555,0.00264628,0.671799,0.13575,0.374905,0.489345
741,0.325832,0.00262012,0.671548,0.135807,0.374906,0.489287
740,0.326109,0.00259417,0.671296,0.135863,0.374907,0.48923
739,0.326387,0.00256843,0.671045,0.13592,0.374908,0.489173
738,0.326664,0.0025429,0.670793,0.135976,0.374909,0.489116
737,0.326941,0.00251758,0.670541,0.136032,0.37491,0.489058
736,0.327219,0.00249245,0.670289,0.136089,0.37491,0.489001
735,0.327496,0.00246754,0.670037,0.136145,0.374911,0.488944
734,0.327773,0.00244282,0.669784,0.136201,0.374912,0.488887
733,0.328051,0.0024183,0.669531,0.136258,0.374913,0.488829
732,0.328328,0.00239398,0.669278,0.136314,0.374914,0.488772
731,0.328605,0.00236986,0.669025,0.13637,0.374915,0.488715
730,0.328883,0.00234594,0.668771,0.136427,0.374916,0.488658
729,0.32916,0.00232221,0.668518,0.136483,0.374916,0.488601
728,0.329437,0.00229867,0.668264,0.136539,0.374917,0.488543
727,0.329715,0.00227533,0.66801,0.136596,0.374918,0.488486
726,0.329992,0.00225217,0.667755,0.136652,0.374919,0.488429
725,0.33027,0.00222921,0.667501,0.136708,0.37492,0.488372
724,0.330548,0.00220643,0.667246,0.136765,0.374921,0.488315
723,0.330825,0.00218384,0.666991,0.136821,0.374921,0.488258
722,0.331103,0.00216144,0.666736,0.136877,0.374922,0.4882
721,0.331381,0.00213922,0.66648,0.136934,0.374923,0.488143
720,0.331658,0.00211718,0.666224,0.13699,0.374924,0.488086
719,0.331936,0.00209532,0.665968,0.137046,0.374925,0.488029
718,0.332214,0.00207365,0.665712,0.137103,0.374925,0.487972
717,0.332492,0.00205215,0.665456,0.137159,0.374926,0.487915
716,0.33277,0.00203083,0.665199,0.137215,0.374927,0.487858
715,0.333048,0.00200969,0.664942,0.137272,0.374928,0.487801
714,0.333326,0.00198872,0.664685,0.137328,0.374929,0.487744
713,0.333605,0.00196793,0.664427,0.137384,0.374929,0.487686
712,0.333883,0.00194731,0.66417,0.137441,0.37493,0.487629
711,0.334161,0.00192686,0.663912,0.137497,0.374931,0.487572
710,0.33444,0.00190659,0.663654,0.137553,0.374932,0.487515
709,0.334719,0.00188648,0.663395,0.13761,0.374932,0.487458
708,0.334997,0.00186654,0.663136,0.137666,0.374933,0.487401
707,0.335276,0.00184677,0.662877,0.137722,0.374934,0.487344
706,0.335555,0.00182716,0.662618,0.137779,0.374934,0.487287
705,0.335834,0.00180772,0.662358,0.137835,0.374935,0.48723
704,0.336113,0.00178844,0.662099,0.137891,0.374936,0.487173
703,0.336392,0.00176933,0.661838,0.137947,0.374937,0.487116
702,0.336672,0.00175037,0.661578,0.138004,0.374937,0.487059
701,0.336951,0.00173158,0.661317,0.13806,0.374938,0.487002
700,0.33723,0.00171295,0.661057,0.138116,0.374939,0.486945
699,0.33751,0.00169447,0.660795,0.138173,0.374939,0.486888
698,0.33779,0.00167615,0.660534,0.138229,0.37494,0.486831
697,0.33807,0.00165799,0.660272,0.138285,0.374941,0.486774
696,0.33835,0.00163999,0.66001,0.138342,0.374941,0.486717
695,0.33863,0.00162213,0.659748,0.138398,0.374942,0.48666
694,0.33891,0.00160443,0.659485,0.138454,0.374943,0.486603
693,0.339191,0.00158689,0.659222,0.138511,0.374943,0.486546
692,0.339471,0.00156949,0.658959,0.138567,0.374944,0.486489
691,0.339752,0.00155225,0.658696,0.138623,0.374944,0.486432
690,0.340033,0.00153515,0.658432,0.13868,0.374945,0.486375
689,0.340314,0.0015182,0.658168,0.138736,0.374946,0.486318
688,0.340595,0.0015014,0.657903,0.138792,0.374946,0.486261
687,0.340877,0.00148474,0.657639,0.138849,0.374947,0.486204
686,0.341158,0.00146823,0.657374,0.138905,0.374948,0.486148
685,0.34144,0.00145187,0.657108,0.138961,0.374948,0.486091
684,0.341721,0.00143564,0.656843,0.139018,0.374949,0.486034
683,0.342003,0.00141956,0.656577,0.139074,0.374949,0.485977
682,0.342286,0.00140362,0.656311,0.13913,0.37495,0.48592
681,0.342568,0.00138782,0.656044,0.139186,0.374951,0.485863
680,0.34285,0.00137216,0.655778,0.139243,0.374951,0.485806
679,0.343133,0.00135664,0.65551,0.139299,0.374952,0.485749
678,0.343416,0.00134126,0.655243,0.139355,0.374952,0.485692
677,0.343699,0.00132601,0.654975,0.139412,0.374953,0.485636
676,0.343982,0.0013109,0.654707,0.139468,0.374953,0.485579
675,0.344265,0.00129592,0.654439,0.139524,0.374954,0.485522
674,0.344549,0.00128108,0.65417,0.139581,0.374954,0.485465
673,0.344833,0.00126636,0.653901,0.139637,0.374955,0.485408
672,0.345117,0.00125179,0.653632,0.139693,0.374956,0.485351
671,0.345401,0.00123734,0.653362,0.139749,0.374956,0.485294
670,0.345685,0.00122302,0.653092,0.139806,0.374957,0.485238
669,0.34597,0.00120883,0.652822,0.139862,0.374957,0.485181
668,0.346254,0.00119477,0.652551,0.139918,0.374958,0.485124
667,0.346539,0.00118084,0.65228,0.139975,0.374958,0.485067
666,0.346824,0.00116704,0.652009,0.140031,0.374959,0.48501
665,0.34711,0.00115336,0.651737,0.140087,0.374959,0.484954
664,0.347395,0.00113981,0.651465,0.140143,0.37496,0.484897
663,0.347681,0.00112638,0.651193,0.1402,0.37496,0.48484
662,0.347967,0.00111307,0.65092,0.140256,0.374961,0.484783
661,0.348253,0.00109989,0.650647,0.140312,0.374961,0.484727
660,0.34854,0.00108683,0.650373,0.140369,0.374962,0.48467
659,0.348826,0.00107388,0.6501,0.140425,0.374962,0.484613
658,0.349113,0.00106106,0.649826,0.140481,0.374963,0.484556
657,0.3494,0.00104836,0.649551,0.140537,0.374963,0.4845
656,0.349688,0.00103578,0.649277,0.140594,0.374964,0.484443
655,0.349975,0.00102331,0.649001,0.14065,0.374964,0.484386
654,0.350263,0.00101097,0.648726,0.140706,0.374964,0.484329
653,0.350551,0.000998733,0.64845,0.140762,0.374965,0.484273
652,0.350839,0.000986616,0.648174,0.140819,0.374965,0.484216
651,0.351128,0.000974613,0.647897,0.140875,0.374966,0.484159
650,0.351417,0.000962724,0.647621,0.140931,0.374966,0.484103
649,0.351706,0.000950948,0.647343,0.140987,0.374967,0.484046
648,0.351995,0.000939284,0.647066,0.141044,0.374967,0.483989
647,0.352284,0.000927732,0.646788,0.1411,0.374967,0.483933
646,0.352574,0.00091629,0.64651,0.141156,0.374968,0.483876
645,0.352864,0.000904958,0.646231,0.141212,0.374968,0.483819
644,0.353154,0.000893734,0.645952,0.141269,0.374969,0.483763
643,0.353445,0.00088262,0.645672,0.141325,0.374969,0.483706
642,0.353736,0.000871612,0.645393,0.141381,0.37497,0.483649
641,0.354027,0.000860712,0.645112,0.141437,0.37497,0.483593
640,0.354318,0.000849918,0.644832,0.141494,0.37497,0.483536
639,0.35461,0.000839229,0.644551,0.14155,0.374971,0.48348
638,0.354902,0.000828644,0.64427,0.141606,0.374971,0.483423
637,0.355194,0.000818164,0.643988,0.141662,0.374972,0.483366
636,0.355486,0.000807787,0.643706,0.141718,0.374972,0.48331
635,0.355779,0.000797512,0.643424,0.141775,0.374972,0.483253
634,0.356072,0.000787338,0.643141,0.141831,0.374973,0.483197
633,0.356365,0.000777266,0.642858,0.141887,0.374973,0.48314
632,0.356659,0.000767294,0.642574,0.141943,0.374973,0.483083
631,0.356952,0.000757421,0.64229,0.141999,0.374974,0.483027
630,0.357247,0.000747648,0.642006,0.142056,0.374974,0.48297
629,0.357541,0.000737972,0.641721,0.142112,0.374974,0.482914
628,0.357836,0.000728394,0.641436,0.142168,0.374975,0.482857
627,0.358131,0.000718913,0.64115,0.142224,0.374975,0.482801
626,0.358426,0.000709527,0.640865,0.14228,0.374976,0.482744
625,0.358721,0.000700238,0.640578,0.142336,0.374976,0.482688
624,0.359017,0.000691042,0.640292,0.142393,0.374976,0.482631
623,0.359313,0.000681941,0.640005,0.142449,0.374977,0.482575
622,0.35961,0.000672933,0.639717,0.142505,0.374977,0.482518
621,0.359907,0.000664018,0.639429,0.142561,0.374977,0.482462
620,0.360204,0.000655194,0.639141,0.142617,0.374977,0.482405
619,0.360501,0.000646462,0.638852,0.142673,0.374978,0.482349
618,0.360799,0.000637821,0.638563,0.142729,0.374978,0.482292
617,0.361097,0.000629269,0.638274,0.142786,0.374978,0.482236
616,0.361395,0.000620807,0.637984,0.142842,0.374979,0.482179
615,0.361694,0.000612433,0.637694,0.142898,0.374979,0.482123
614,0.361993,0.000604148,0.637403,0.142954,0.374979,0.482067
613,0.362292,0.000595949,0.637112,0.14301,0.37498,0.48201
612,0.362592,0.000587838,0.63682,0.143066,0.37498,0.481954
611,0.362892,0.000579812,0.636528,0.143122,0.37498,0.481897
610,0.363192,0.000571872,0.636236,0.143178,0.374981,0.481841
609,0.363493,0.000564017,0.635943,0.143235,0.374981,0.481785
608,0.363793,0.000556245,0.63565,0.143291,0.374981,0.481728
607,0.364095,0.000548558,0.635357,0.143347,0.374981,0.481672
606,0.364396,0.000540953,0.635063,0.143403,0.374982,0.481616
605,0.364698,0.00053343,0.634768,0.143459,0.374982,0.481559
604,0.365001,0.000525989,0.634473,0.143515,0.374982,0.481503
603,0.365303,0.000518629,0.634178,0.143571,0.374982,0.481447
602,0.365606,0.000511349,0.633883,0.143627,0.374983,0.48139
601,0.365909,0.000504149,0.633586,0.143683,0.374983,0.481334
600,0.366213,0.000497028,0.63329,0.143739,0.374983,0.481278
599,0.366517,0.000489986,0.632993,0.143795,0.374983,0.481221
598,0.366821,0.000483022,0.632696,0.143851,0.374984,0.481165
597,0.367126,0.000476135,0.632398,0.143907,0.374984,0.481109
596,0.367431,0.000469324,0.6321,0.143963,0.374984,0.481053
595,0.367736,0.00046259,0.631801,0.144019,0.374984,0.480996
594,0.368042,0.000455932,0.631502,0.144075,0.374985,0.48094
593,0.368348,0.000449348,0.631202,0.144131,0.374985,0.480884
592,0.368655,0.000442838,0.630902,0.144187,0.374985,0.480828
591,0.368962,0.000436403,0.630602,0.144243,0.374985,0.480771
590,0.369269,0.00043004,0.630301,0.144299,0.374986,0.480715
589,0.369576,0.00042375,0.63,0.144355,0.374986,0.480659
588,0.369884,0.000417532,0.629698,0.144411,0.374986,0.480603
587,0.370193,0.000411386,0.629396,0.144467,0.374986,0.480547
586,0.370501,0.00040531,0.629093,0.144523,0.374987,0.48049
585,0.37081,0.000399305,0.62879,0.144579,0.374987,0.480434
584,0.37112,0.000393369,0.628487,0.144635,0.374987,0.480378
583,0.371429,0.000387502,0.628183,0.144691,0.374987,0.480322
582,0.37174,0.000381704,0.627879,0.144747,0.374987,0.480266
581,0.37205,0.000375974,0.627574,0.144803,0.374988,0.48021
580,0.372361,0.000370312,0.627269,0.144859,0.374988,0.480154
579,0.372672,0.000364716,0.626963,0.144915,0.374988,0.480097
578,0.372984,0.000359187,0.626657,0.14497,0.374988,0.480041
577,0.373296,0.000353723,0.62635,0.145026,0.374988,0.479985
576,0.373609,0.000348325,0.626043,0.145082,0.374989,0.479929
575,0.373921,0.000342991,0.625736,0.145138,0.374989,0.479873
574,0.374235,0.000337722,0.625428,0.145194,0.374989,0.479817
573,0.374548,0.000332516,0.625119,0.14525,0.374989,0.479761
572,0.374862,0.000327373,0.62481,0.145306,0.374989,0.479705
571,0.375177,0.000322293,0.624501,0.145362,0.374989,0.479649
570,0.375492,0.000317274,0.624191,0.145417,0.37499,0.479593
569,0.375807,0.000312317,0.623881,0.145473,0.37499,0.479537
568,0.376123,0.000307422,0.62357,0.145529,0.37499,0.479481
567,0.376439,0.000302586,0.623259,0.145585,0.37499,0.479425
566,0.376755,0.00029781,0.622947,0.145641,0.37499,0.479369
565,0.377072,0.000293094,0.622635,0.145696,0.37499,0.479313
564,0.377389,0.000288437,0.622322,0.145752,0.374991,0.479257
563,0.377707,0.000283838,0.622009,0.145808,0.374991,0.479201
562,0.378025,0.000279296,0.621696,0.145864,0.374991,0.479145
561,0.378343,0.000274812,0.621382,0.145919,0.374991,0.479089
560,0.378662,0.000270385,0.621067,0.145975,0.374991,0.479034
559,0.378982,0.000266014,0.620752,0.146031,0.374991,0.478978
558,0.379301,0.000261699,0.620437,0.146087,0.374992,0.478922
557,0.379621,0.000257439,0.620121,0.146142,0.374992,0.478866
556,0.379942,0.000253234,0.619805,0.146198,0.374992,0.47881
555,0.380263,0.000249083,0.619488,0.146254,0.374992,0.478754
554,0.380584,0.000244986,0.619171,0.146309,0.374992,0.478698
553,0.380906,0.000240942,0.618853,0.146365,0.374992,0.478643
552,0.381229,0.000236951,0.618534,0.146421,0.374992,0.478587
551,0.381551,0.000233012,0.618216,0.146476,0.374993,0.478531
550,0.381874,0.000229125,0.617896,0.146532,0.374993,0.478475
549,0.382198,0.00022529,0.617577,0.146588,0.374993,0.478419
548,0.382522,0.000221505,0.617257,0.146643,0.374993,0.478364
547,0.382846,0.00021777,0.616936,0.146699,0.374993,0.478308
546,0.383171,0.000214086,0.616615,0.146755,0.374993,0.478252
545,0.383497,0.000210451,0.616293,0.14681,0.374993,0.478196
544,0.383822,0.000206865,0.615971,0.146866,0.374993,0.478141
543,0.384148,0.000203327,0.615648,0.146921,0.374994,0.478085
542,0.384475,0.000199838,0.615325,0.146977,0.374994,0.478029
541,0.384802,0.000196396,0.615001,0.147032,0.374994,0.477974
540,0.38513,0.000193001,0.614677,0.147088,0.374994,0.477918
539,0.385458,0.000189652,0.614353,0.147143,0.374994,0.477862
538,0.385786,0.00018635,0.614028,0.147199,0.374994,0.477807
537,0.386115,0.000183094,0.613702,0.147255,0.374994,0.477751
536,0.386444,0.000179883,0.613376,0.14731,0.374994,0.477696
535,0.386774,0.000176716,0.613049,0.147365,0.374995,0.47764
534,0.387104,0.000173594,0.612722,0.147421,0.374995,0.477584
533,0.387435,0.000170516,0.612395,0.147476,0.374995,0.477529
532,0.387766,0.000167482,0.612067,0.147532,0.374995,0.477473
531,0.388098,0.00016449,0.611738,0.147587,0.374995,0.477418
530,0.38843,0.000161541,0.611409,0.147643,0.374995,0.477362
529,0.388762,0.000158635,0.611079,0.147698,0.374995,0.477307
528,0.389095,0.00015577,0.610749,0.147753,0.374995,0.477251
527,0.389429,0.000152946,0.610419,0.147809,0.374995,0.477196
526,0.389762,0.000150163,0.610087,0.147864,0.374995,0.47714
525,0.390097,0.000147421,0.609756,0.14792,0.374995,0.477085
524,0.390432,0.000144719,0.609424,0.147975,0.374996,0.477029
523,0.390767,0.000142056,0.609091,0.14803,0.374996,0.476974
522,0.391103,0.000139432,0.608758,0.148086,0.374996,0.476919
521,0.391439,0.000136848,0.608424,0.148141,0.374996,0.476863
520,0.391776,0.000134301,0.60809,0.148196,0.374996,0.476808
519,0.392113,0.000131793,0.607755,0.148251,0.374996,0.476753
518,0.39245,0.000129322,0.60742,0.148307,0.374996,0.476697
517,0.392789,0.000126888,0.607085,0.148362,0.374996,0.476642
516,0.393127,0.000124491,0.606748,0.148417,0.374996,0.476587
515,0.393466,0.000122131,0.606412,0.148472,0.374996,0.476531
514,0.393806,0.000119806,0.606074,0.148528,0.374996,0.476476
513,0.394146,0.000117517,0.605737,0.148583,0.374996,0.476421
512,0.394486,0.000115263,0.605398,0.148638,0.374997,0.476365
511,0.394827,0.000113043,0.605059,0.148693,0.374997,0.47631
510,0.395169,0.000110859,0.60472,0.148748,0.374997,0.476255
509,0.395511,0.000108708,0.60438,0.148803,0.374997,0.4762
508,0.395853,0.00010659,0.60404,0.148859,0.374997,0.476145
507,0.396196,0.000104506,0.603699,0.148914,0.374997,0.476089
506,0.39654,0.000102455,0.603358,0.148969,0.374997,0.476034
505,0.396884,0.000100436,0.603016,0.149024,0.374997,0.475979
504,0.397228,9.84488e-05,0.602673,0.149079,0.374997,0.475924
503,0.397573,9.64936e-05,0.60233,0.149134,0.374997,0.475869
502,0.397919,9.45698e-05,0.601987,0.149189,0.374997,0.475814
501,0.398265,9.26769e-05,0.601643,0.149244,0.374997,0.475759
500,0.398611,9.08147e-05,0.601298,0.149299,0.374997,0.475704
499,0.398958,8.89827e-05,0.600953,0.149354,0.374997,0.475649
498,0.399306,8.71805e-05,0.600607,0.149409,0.374997,0.475594
497,0.399653,8.54078e-05,0.600261,0.149464,0.374998,0.475539
496,0.400002,8.36644e-05,0.599914,0.149519,0.374998,0.475484
495,0.400351,8.19497e-05,0.599567,0.149574,0.374998,0.475429
494,0.4007,8.02635e-05,0.599219,0.149629,0.374998,0.475374
