Temp,"HSN(Si,Ti)@moti5si3","HSN(Ti,Ti)@moti5si3","HSN(Si,Si)@moti5si3"
858,82713.7,302935,2.88028e+07
857,82713.9,302916,2.89832e+07
856,82714,302898,2.91653e+07
855,82714.1,302880,2.93492e+07
854,82714.2,302861,2.9535e+07
853,82714.3,302843,2.97225e+07
852,82714.3,302825,2.99119e+07
851,82714.4,302807,3.01032e+07
850,82714.4,302789,3.02964e+07
849,82714.4,302771,3.04915e+07
848,82714.4,302753,3.06886e+07
847,82714.4,302735,3.08877e+07
846,82714.3,302718,3.10887e+07
845,82714.3,302700,3.12918e+07
844,82714.2,302683,3.1497e+07
843,82714.1,302665,3.17043e+07
842,82714,302648,3.19137e+07
841,82713.8,302631,3.21252e+07
840,82713.7,302614,3.23389e+07
839,82713.5,302596,3.25549e+07
838,82713.3,302579,3.2773e+07
837,82713.1,302562,3.29935e+07
836,82712.9,302546,3.32163e+07
835,82712.6,302529,3.34414e+07
834,82712.4,302512,3.36689e+07
833,82711.5,302496,3.38988e+07
832,82711.8,302479,3.41312e+07
831,82711.4,302462,3.4366e+07
830,82711.1,302446,3.46034e+07
829,82710.7,302430,3.48434e+07
828,82710.3,302413,3.50859e+07
827,82709.9,302397,3.53311e+07
826,82709.5,302381,3.55789e+07
825,82710.2,302365,3.58295e+07
824,82708.7,302349,3.60829e+07
823,82708.2,302333,3.6339e+07
822,82707.7,302318,3.6598e+07
821,82707.1,302302,3.68599e+07
820,82706.6,302286,3.71248e+07
819,82706,302271,3.73926e+07
818,82706,302255,3.76635e+07
817,82705.4,302240,3.79375e+07
816,82704.9,302224,3.82146e+07
815,82704.2,302209,3.84949e+07
814,82703,302194,3.87784e+07
813,82702.4,302179,3.90653e+07
812,82701.7,302164,3.93555e+07
811,82700.9,302149,3.96491e+07
810,82700.2,302134,3.99462e+07
809,82699.4,302119,4.02468e+07
808,82698.6,302104,4.05511e+07
807,82697.8,302089,4.08589e+07
806,82697,302075,4.11705e+07
805,82694.8,302060,4.14859e+07
804,82693.8,302046,4.18052e+07
803,82692.8,302031,4.21283e+07
802,82693.1,302017,4.24555e+07
801,82692.2,302003,4.27867e+07
800,82691.2,301988,4.31221e+07
799,82690.2,301974,4.34618e+07
798,82689.2,301960,4.38057e+07
797,82688.1,301946,4.4154e+07
796,82687.1,301932,4.45068e+07
795,82686,301918,4.48642e+07
794,82684.9,301905,4.52262e+07
793,82683.7,301891,4.55929e+07
792,82682.6,301877,4.59645e+07
791,82681.4,301864,4.63411e+07
790,82680.2,301850,4.67227e+07
789,82679,301837,4.71094e+07
788,82677.7,301823,4.75014e+07
787,82676.5,301810,4.78987e+07
786,82675.2,301797,4.83016e+07
785,82673.8,301783,4.871e+07
784,82672.5,301770,4.91242e+07
783,82671.1,301757,4.95442e+07
782,82669.8,301744,4.99702e+07
781,82668.3,301731,5.04023e+07
780,82666.9,301719,5.08406e+07
779,82665.5,301706,5.12854e+07
778,82664,301693,5.17367e+07
777,82662.5,301681,5.21947e+07
776,82660.9,301668,5.26596e+07
775,82659.4,301655,5.31315e+07
774,82657.8,301643,5.36107e+07
773,82656.2,301631,5.40972e+07
772,82654.6,301618,5.45913e+07
771,82653,301606,5.50932e+07
770,82651.3,301594,5.56031e+07
769,82649.6,301582,5.61212e+07
768,82647.9,301570,5.66476e+07
767,82646.1,301558,5.71827e+07
766,82644.4,301546,5.77267e+07
765,82642.6,301534,5.82798e+07
764,82640.8,301522,5.88424e+07
763,82639,301511,5.94145e+07
762,82637.1,301499,5.99966e+07
761,82635.2,301487,6.0589e+07
760,82633.3,301476,6.11919e+07
759,82631.4,301465,6.18057e+07
758,82629.4,301453,6.24308e+07
757,82627.4,301442,6.30674e+07
756,82625.4,301431,6.3716e+07
755,82623.4,301419,6.4377e+07
754,82621.4,301408,6.50507e+07
753,82619.3,301397,6.57377e+07
752,82617.2,301386,6.64384e+07
751,82615.1,301375,6.71533e+07
750,82612.9,301364,6.78829e+07
749,82610.7,301354,6.86278e+07
748,82608.5,301343,6.93885e+07
747,82606.3,301332,7.01657e+07
746,82604.1,301322,7.09601e+07
745,82601.8,301311,7.17723e+07
744,82599.5,301301,7.26031e+07
743,82597.2,301290,7.34533e+07
742,82594.9,301280,7.43238e+07
741,82592.5,301269,7.52154e+07
740,82590.1,301259,7.61293e+07
