Temp,"HSN(Si,Ti)@bcc","HSN(Ti,Ti)@bcc","HSN(Si,Si)@bcc"
571,671528,849028,850406
570,676598,854151,855482
569,681720,859326,860611
568,686896,864555,865793
567,692126,869837,871029
566,697410,875174,876319
565,702750,880567,881665
564,708146,886015,887068
563,713599,891520,892527
562,719110,897084,898044
561,724679,902705,903619
560,730307,908386,909254
559,735995,914127,914949
558,741745,919928,920705
557,747556,925792,926523
556,753429,931718,932404
555,759366,937707,938347
554,765368,943761,944356
553,771434,949879,950430
552,777567,956064,956569
551,783767,962316,962776
550,790035,968636,969052
549,796372,975025,975396
548,802778,981484,981810
547,809256,988014,988295
546,815806,994616,994852
545,822428,1.00129e+06,1.00148e+06
544,829125,1.00804e+06,1.00819e+06
543,835897,1.01486e+06,1.01497e+06
542,842745,1.02176e+06,1.02182e+06
541,849670,1.02874e+06,1.02875e+06
540,856673,1.0358e+06,1.03577e+06
539,863756,1.04293e+06,1.04286e+06
538,870920,1.05015e+06,1.05003e+06
537,878166,1.05744e+06,1.05728e+06
536,885495,1.06482e+06,1.06462e+06
535,892908,1.07229e+06,1.07204e+06
534,900406,1.07984e+06,1.07955e+06
533,907992,1.08748e+06,1.08714e+06
532,915665,1.0952e+06,1.09482e+06
531,923428,1.10302e+06,1.10259e+06
530,931281,1.11092e+06,1.11046e+06
529,939227,1.11892e+06,1.11841e+06
528,947266,1.12701e+06,1.12646e+06
527,955400,1.13519e+06,1.1346e+06
526,963631,1.14348e+06,1.14284e+06
525,971959,1.15186e+06,1.15118e+06
524,980387,1.16033e+06,1.15961e+06
523,988915,1.16891e+06,1.16815e+06
522,997546,1.1776e+06,1.17679e+06
521,1.00628e+06,1.18638e+06,1.18553e+06
520,1.01512e+06,1.19527e+06,1.19438e+06
519,1.02407e+06,1.20427e+06,1.20334e+06
518,1.03312e+06,1.21338e+06,1.21241e+06
517,1.04229e+06,1.2226e+06,1.22158e+06
516,1.05157e+06,1.23193e+06,1.23087e+06
515,1.06096e+06,1.24137e+06,1.24027e+06
514,1.07047e+06,1.25093e+06,1.24979e+06
513,1.0801e+06,1.26061e+06,1.25943e+06
512,1.08984e+06,1.27041e+06,1.26918e+06
511,1.09971e+06,1.28032e+06,1.27906e+06
510,1.1097e+06,1.29037e+06,1.28906e+06
