Temperature,xFE_FCC,xCO_FCC,xB_FCC,xNB_FCC,xMO_FCC,xSI_FCC,xCR_FCC,xMN_FCC,xTI_FCC,xNI_FCC,xAL_FCC,xCU_FCC,xC_FCC,xS_FCC
1552.399999999995,0.19836304391601453,0.0007092877529302616,4.6350470481429375e-07,0.022602095320461296,0.01591504814984354,0.0024419355966603224,0.21514963753528524,0.0004961193761083006,0.008704259206210183,0.5214927440156828,0.012849349424833118,0.0009037877056963291,0.0003720411435221396,1.8735204703365792e-07
1553.739999999995,0.19869588627765358,0.0007105144506607781,4.416931231202233e-07,0.022259052906087227,0.015814740034339657,0.0024339449243270324,0.21520851351109957,0.0004942272460786417,0.008601704915503989,0.521636352708513,0.012862996904959137,0.0009021250909148415,0.00037932011014636945,1.792265927807356e-07
1555.079999999995,0.1990331410315815,0.0007117726334692846,4.2164607319221747e-07,0.021917103320116673,0.015712884426706698,0.002426238309047806,0.21526105659242772,0.0004922857164173453,0.008498400157823409,0.521783161789185,0.01287622470606153,0.0009003214865350128,0.00038681643864663253,1.7174590817171737e-07
1556.4199999999948,0.19937495831407828,0.0007130636654589973,4.0314939622009514e-07,0.021576350768159832,0.015609415986558283,0.0024188154360583764,0.21530683404684337,0.0004902932540705344,0.008394380256214463,0.5219333823555533,0.012889027025921906,0.0008983728285879729,0.000394538081708803,1.64831389706077e-07
1557.7599999999948,0.19972151110199068,0.0007143890410519311,3.860212746762348e-07,0.021236888997258053,0.015504263013571619,0.0024116761019238194,0.2153453886359723,0.0004882481924459764,0.00828967839498588,0.5220872443119876,0.012901399408311288,0.000896274915188041,0.00040249344776557876,1.584162726806737e-07
1558.5214907042648,0.19992063280373587,0.0007151581407736239,3.76837414406678e-07,0.021044588865679274,0.015443726956926833,0.002407745328698534,0.21536389598142297,0.0004870619118802098,0.008229886972197117,0.5221763973614387,0.012908237502657835,0.0008950145559493091,0.00040712181008701405,1.549711383065264e-07
1558.5214907042669,0.1999206328037347,0.0007151581407736254,3.768374144066679e-07,0.02104458886567912,0.015443726956926765,0.0024077453286985065,0.2153638959814223,0.00048706191188020834,0.00822988697219729,0.5221763973614406,0.01290823750265782,0.0008950145559493045,0.00040712181008701367,1.549711383065221e-07
1559.0999999999947,0.20003784063226396,0.0007156699112010019,3.7204906421157024e-07,0.020920922450856742,0.01541356724069926,0.0024040551103668892,0.2154018828553853,0.00048634141891119127,0.008191683218240167,0.5222244148346569,0.012906641950122389,0.0008939598841683893,0.0004024951969308591,1.532471326676464e-07
1560.4399999999946,0.200311518889433,0.0007168776029361173,3.613445923334292e-07,0.02063437383772815,0.015343144384944512,0.002395527934774837,0.2154889527425137,0.00048464378406559017,0.008102652957073813,0.5223361887734169,0.012902139945573751,0.0008914192375568287,0.00039204917745885507,1.4938793156567846e-07
1561.7799999999945,0.20058826247367142,0.0007181171491714072,3.511488437271191e-07,0.020347774055554182,0.015271923217170372,0.002387031099857857,0.21557461774838374,0.00048290553241086377,0.008012895900860798,0.5224487856103494,0.012896484028183516,0.0008887402572566025,0.0003819660731526755,1.45705133587136e-07
1563.1199999999944,0.20086808443128706,0.0007193895094555967,3.414257425848057e-07,0.02006122825923519,0.015199889417428336,0.002378566288577028,0.21565872729516358,0.0004811260838138737,0.007922443813614458,0.5225622728566668,0.012889639662672148,0.0008859207123606321,0.00037222805775521034,1.4218622731111743e-07
