HSN[Nb,Si] 381337
HSN[Nb,Ti] 293619
HSN[Nb,Cr] 170439
HSN[Nb,Mn] 194079
HSN[Nb,Fe] 115747
HSN[Nb,Co] 123545
HSN[Nb,Nb] 1.52849e+06
HSN[Nb,Mo] 157894
         HSN[Mo,Al] 164103
HSN[Mo,Si] 269165
HSN[Mo,Ti] 185650
HSN[Mo,Cr] 34981.1
HSN[Mo,Mn] 41934.1
HSN[Mo,Fe] 57530.4
HSN[Mo,Co] 14716.4
HSN[Mo,Nb] 157894
HSN[Mo,Mo] 624328

Determinant of Hessian Matrix of G:
|HSN| 1.25904e+54

############## Point 2#############
Temperature 1629
Phase Name = Liquid
Hessian Matrix of G:
HSN[Al,Al] 1.47022e+06
HSN[Al,Si] 381517
HSN[Al,Ti] 251968
HSN[Al,Cr] 133155
HSN[Al,Mn] 155970
HSN[Al,Fe] 92483.6
HSN[Al,Co] 67300.3
HSN[Al,Nb] 231404
HSN[Al,Mo] 109955
         HSN[Si,Al] 381517
HSN[Si,Si] 2.36279e+06
HSN[Si,Ti] 209999
HSN[Si,Cr] 167845
HSN[Si,Mn] 168253
HSN[Si,Fe] 135769
HSN[Si,Co] 77956.5
HSN[Si,Nb] 195442
HSN[Si,Mo] 111738
         HSN[Ti,Al] 251968
HSN[Ti,Si] 209999
HSN[Ti,Ti] 1.60124e+06
HSN[Ti,Cr] 183066
HSN[Ti,Mn] 212357
HSN[Ti,Fe] 129367
HSN[Ti,Co] 65235.4
HSN[Ti,Nb] 332222
HSN[Ti,Mo] 165366
         HSN[Cr,Al] 133155
HSN[Cr,Si] 167845
HSN[Cr,Ti] 183066
HSN[Cr,Cr] 115165
HSN[Cr,Mn] 80086.4
HSN[Cr,Fe] 42693.7
HSN[Cr,Co] 10181.3
HSN[Cr,Nb] 165434
HSN[Cr,Mo] 52832.1
         HSN[Mn,Al] 155970
HSN[Mn,Si] 168253
HSN[Mn,Ti] 212357
HSN[Mn,Cr] 80086.4
HSN[Mn,Mn] 3.72383e+06
HSN[Mn,Fe] 63256.8
HSN[Mn,Co] 36173.1
HSN[Mn,Nb] 187825
HSN[Mn,Mo] 57980
         HSN[Fe,Al] 92483.6
HSN[Fe,Si] 135769
HSN[Fe,Ti] 129367
HSN[Fe,Cr] 42693.7
HSN[Fe,Mn] 63256.8
HSN[Fe,Fe] 112861
HSN[Fe,Co] 23849.2
HSN[Fe,Nb] 95280.9
HSN[Fe,Mo] 43665.4
         HSN[Co,Al] 67300.3
HSN[Co,Si] 77956.5
HSN[Co,Ti] 65235.4
HSN[Co,Cr] 10181.3
HSN[Co,Mn] 36173.1
HSN[Co,Fe] 23849.2
HSN[Co,Co] 1.41715e+06
HSN[Co,Nb] 109147
HSN[Co,Mo] 3946.45
         HSN[Nb,Al] 231404
HSN[Nb,Si] 195442
HSN[Nb,Ti] 332222
HSN[Nb,Cr] 165434
HSN[Nb,Mn] 187825
HSN[Nb,Fe] 95280.9
HSN[Nb,Co] 109147
HSN[Nb,Nb] 759643
HSN[Nb,Mo] 154895
         HSN[Mo,Al] 109955
HSN[Mo,Si] 111738
HSN[Mo,Ti] 165366
HSN[Mo,Cr] 52832.1
HSN[Mo,Mn] 57980
HSN[Mo,Fe] 43665.4
