Temp,Mo@liq,Si@liq,Ti@liq,Mo@motisi,Si@moti5si3,Ti@moti5si3
428,0.424939,1.64326e-05,0.575045,0.153212,0.375,0.471788
427,0.425324,1.59822e-05,0.57466,0.153266,0.375,0.471735
426,0.425711,1.55421e-05,0.574274,0.153319,0.375,0.471681
425,0.426098,1.51122e-05,0.573887,0.153373,0.375,0.471628
424,0.426485,1.46923e-05,0.5735,0.153426,0.375,0.471574
423,0.426873,1.42821e-05,0.573112,0.15348,0.375,0.471521
422,0.427262,1.38815e-05,0.572724,0.153533,0.375,0.471467
421,0.427651,1.34903e-05,0.572335,0.153587,0.375,0.471414
420,0.428041,1.31083e-05,0.571946,0.15364,0.375,0.47136
419,0.428431,1.27355e-05,0.571556,0.153693,0.375,0.471307
418,0.428822,1.23715e-05,0.571165,0.153747,0.375,0.471254
417,0.429214,1.20163e-05,0.570774,0.1538,0.375,0.4712
416,0.429606,1.16696e-05,0.570382,0.153853,0.375,0.471147
415,0.429999,1.13314e-05,0.56999,0.153907,0.375,0.471094
414,0.430392,1.10014e-05,0.569597,0.15396,0.375,0.47104
413,0.430786,1.06795e-05,0.569203,0.154013,0.375,0.470987
412,0.431181,1.03655e-05,0.568809,0.154066,0.375,0.470934
411,0.431576,1.00593e-05,0.568414,0.15412,0.375,0.470881
410,0.431971,9.76066e-06,0.568019,0.154173,0.375,0.470827
409,0.432368,9.46954e-06,0.567623,0.154226,0.375,0.470774
408,0.432765,9.18574e-06,0.567226,0.154279,0.375,0.470721
407,0.433162,8.90912e-06,0.566829,0.154332,0.375,0.470668
406,0.43356,8.63954e-06,0.566431,0.154385,0.375,0.470615
405,0.433959,8.37684e-06,0.566033,0.154438,0.375,0.470562
404,0.434358,8.12089e-06,0.565634,0.154491,0.375,0.470509
403,0.434758,7.87156e-06,0.565234,0.154544,0.375,0.470456
402,0.435158,7.6287e-06,0.564834,0.154597,0.375,0.470403
401,0.435559,7.39218e-06,0.564434,0.15465,0.375,0.47035
400,0.435961,7.16187e-06,0.564032,0.154703,0.375,0.470297
399,0.436363,6.93764e-06,0.56363,0.154756,0.375,0.470244
398,0.436766,6.71936e-06,0.563228,0.154809,0.375,0.470191
397,0.437169,6.5069e-06,0.562824,0.154862,0.375,0.470138
396,0.437573,6.30014e-06,0.562421,0.154915,0.375,0.470086
395,0.437978,6.09896e-06,0.562016,0.154967,0.375,0.470033
394,0.438383,5.90323e-06,0.561611,0.15502,0.375,0.46998
393,0.438789,5.71284e-06,0.561206,0.155073,0.375,0.469927
392,0.439195,5.52766e-06,0.5608,0.155126,0.375,0.469875
391,0.439602,5.34759e-06,0.560393,0.155178,0.375,0.469822
390,0.44001,5.17252e-06,0.559985,0.155231,0.375,0.469769
389,0.440418,5.00232e-06,0.559577,0.155284,0.375,0.469717
388,0.440827,4.83689e-06,0.559169,0.155336,0.375,0.469664
387,0.441236,4.67612e-06,0.558759,0.155389,0.375,0.469611
386,0.441646,4.5199e-06,0.55835,0.155441,0.375,0.469559
385,0.442057,4.36814e-06,0.557939,0.155494,0.375,0.469506
384,0.442468,4.22072e-06,0.557528,0.155546,0.375,0.469454
383,0.44288,4.07755e-06,0.557116,0.155599,0.375,0.469401
382,0.443292,3.93853e-06,0.556704,0.155651,0.375,0.469349
381,0.443705,3.80356e-06,0.556291,0.155704,0.375,0.469297
380,0.444119,3.67254e-06,0.555878,0.155756,0.375,0.469244
379,0.444533,3.54538e-06,0.555463,0.155808,0.375,0.469192
378,0.444948,3.42199e-06,0.555049,0.155861,0.375,0.469139
377,0.445363,3.30227e-06,0.554633,0.155913,0.375,0.469087
376,0.44578,3.18615e-06,0.554217,0.155965,0.375,0.469035
375,0.446196,3.07352e-06,0.553801,0.156017,0.375,0.468983
374,0.446614,2.9643e-06,0.553383,0.15607,0.375,0.46893
373,0.447032,2.85842e-06,0.552966,0.156122,0.375,0.468878
372,0.44745,2.75577e-06,0.552547,0.156174,0.375,0.468826
371,0.447869,2.6563e-06,0.552128,0.156226,0.375,0.468774
370,0.448289,2.55991e-06,0.551708,0.156278,0.375,0.468722
369,0.44871,2.46652e-06,0.551288,0.15633,0.375,0.46867
368,0.449131,2.37606e-06,0.550867,0.156382,0.375,0.468618
367,0.449552,2.28846e-06,0.550445,0.156434,0.375,0.468566
366,0.449975,2.20363e-06,0.550023,0.156486,0.375,0.468514
365,0.450398,2.12151e-06,0.5496,0.156538,0.375,0.468462
364,0.450821,2.04203e-06,0.549177,0.15659,0.375,0.46841
363,0.451245,1.96511e-06,0.548753,0.156642,0.375,0.468358
362,0.45167,1.8907e-06,0.548328,0.156694,0.375,0.468306
361,0.452095,1.81871e-06,0.547903,0.156746,0.375,0.468255
360,0.452521,1.74909e-06,0.547477,0.156797,0.375,0.468203
359,0.452948,1.68177e-06,0.54705,0.156849,0.375,0.468151
358,0.453375,1.61668e-06,0.546623,0.156901,0.375,0.468099
357,0.453803,1.55378e-06,0.546195,0.156953,0.375,0.468048
356,0.454232,1.49299e-06,0.545767,0.157004,0.375,0.467996
355,0.454661,1.43426e-06,0.545337,0.157056,0.375,0.467944
