Temp,"HSN(Si,Ti)@moti5si3","HSN(Ti,Ti)@moti5si3","HSN(Si,Si)@moti5si3"
221,196407,301251,2.96902e+09
220,196407,301251,2.96902e+09
219,196407,301251,2.96902e+09
218,196407,301251,2.96902e+09
217,196407,301251,2.96902e+09
216,196407,301251,2.96902e+09
215,196407,301251,2.96902e+09
214,196407,301251,2.96902e+09
213,196407,301251,2.96902e+09
212,196407,301251,2.96902e+09
211,196407,301251,2.96902e+09
210,196407,301251,2.96902e+09
209,196407,301251,2.96902e+09
208,196407,301251,2.96902e+09
207,196407,301251,2.96902e+09
206,196407,301251,2.96902e+09
205,196407,301251,2.96902e+09
204,196407,301251,2.96902e+09
203,196407,301251,2.96902e+09
202,196407,301251,2.96902e+09
201,196407,301251,2.96902e+09
200,196407,301251,2.96902e+09
199,196407,301251,2.96902e+09
198,196407,301251,2.96902e+09
197,196407,301251,2.96902e+09
196,196407,301251,2.96902e+09
195,196407,301251,2.96902e+09
194,196407,301251,2.96902e+09
193,196407,301251,2.96902e+09
192,196407,301251,2.96902e+09
191,196407,301251,2.96902e+09
190,196407,301251,2.96902e+09
189,196407,301251,2.96902e+09
188,196407,301251,2.96902e+09
187,196407,301251,2.96902e+09
186,196407,301251,2.96902e+09
185,196407,301251,2.96902e+09
184,196407,301251,2.96902e+09
183,196407,301251,2.96902e+09
182,196407,301251,2.96902e+09
181,196407,301251,2.96902e+09
180,196407,301251,2.96902e+09
179,196407,301251,2.96902e+09
178,196407,301251,2.96902e+09
177,196407,301251,2.96902e+09
176,196407,301251,2.96902e+09
175,196407,301251,2.96902e+09
174,196407,301251,2.96902e+09
173,196407,301251,2.96902e+09
172,196407,301251,2.96902e+09
171,196407,301251,2.96902e+09
170,196407,301251,2.96902e+09
169,196407,301251,2.96902e+09
168,196407,301251,2.96902e+09
167,196407,301251,2.96902e+09
166,196407,301251,2.96902e+09
165,196407,301251,2.96902e+09
164,196407,301251,2.96902e+09
163,196407,301251,2.96902e+09
162,196407,301251,2.96902e+09
161,196407,301251,2.96902e+09
160,196407,301251,2.96902e+09
159,196407,301251,2.96902e+09
