Temp,Mo@liq,Si@liq,Ti@liq,Mo@bcc,Si@bcc,Ti@bcc
291,0.483476,6.21494e-08,0.516524,7.20682e-05,0.166478,0.83345
290,0.483948,5.85317e-08,0.516052,6.98596e-05,0.166508,0.833422
289,0.484421,5.51017e-08,0.515579,6.77038e-05,0.166538,0.833394
288,0.484894,5.18512e-08,0.515106,6.56e-05,0.166569,0.833366
287,0.485368,4.87718e-08,0.514632,6.35473e-05,0.166599,0.833338
286,0.485843,4.58558e-08,0.514157,6.15448e-05,0.166629,0.83331
285,0.486318,4.30956e-08,0.513682,5.95918e-05,0.166659,0.833282
284,0.486795,4.0484e-08,0.513205,5.76875e-05,0.166689,0.833254
283,0.487271,3.80139e-08,0.512729,5.58309e-05,0.166719,0.833225
282,0.487749,3.56786e-08,0.512251,5.40213e-05,0.166749,0.833197
281,0.488227,3.34718e-08,0.511773,5.22578e-05,0.166779,0.833169
280,0.488706,3.13873e-08,0.511294,5.05397e-05,0.166809,0.833141
279,0.489185,2.94191e-08,0.510815,4.88662e-05,0.166839,0.833113
278,0.489666,2.75615e-08,0.510334,4.72364e-05,0.166868,0.833084
277,0.490147,2.58091e-08,0.509853,4.56495e-05,0.166898,0.833056
276,0.490628,2.41567e-08,0.509372,4.41048e-05,0.166928,0.833028
275,0.491111,2.25993e-08,0.508889,4.26016e-05,0.166958,0.832999
274,0.491594,2.1132e-08,0.508406,4.11389e-05,0.166988,0.832971
273,0.492078,1.97504e-08,0.507922,3.97161e-05,0.167018,0.832942
272,0.492562,1.845e-08,0.507438,3.83324e-05,0.167048,0.832914
271,0.493047,1.72265e-08,0.506952,3.6987e-05,0.167078,0.832885
270,0.493533,1.60761e-08,0.506467,3.56793e-05,0.167107,0.832857
269,0.49402,1.49948e-08,0.50598,3.44083e-05,0.167137,0.832828
268,0.494507,1.39791e-08,0.505493,3.31735e-05,0.167167,0.8328
267,0.494996,1.30253e-08,0.505004,3.19741e-05,0.167197,0.832771
266,0.495484,1.21302e-08,0.504516,3.08094e-05,0.167227,0.832743
265,0.495974,1.12906e-08,0.504026,2.96786e-05,0.167256,0.832714
264,0.496464,1.05034e-08,0.503536,2.85811e-05,0.167286,0.832685
263,0.496955,9.7657e-09,0.503045,2.75161e-05,0.167316,0.832657
262,0.497447,9.07484e-09,0.502553,2.6483e-05,0.167346,0.832628
261,0.497939,8.42813e-09,0.502061,2.54811e-05,0.167375,0.832599
260,0.498432,7.82308e-09,0.501568,2.45096e-05,0.167405,0.83257
259,0.498926,7.25732e-09,0.501074,2.3568e-05,0.167435,0.832541
258,0.499421,6.72857e-09,0.500579,2.26555e-05,0.167465,0.832513
257,0.499916,6.23469e-09,0.500084,2.17716e-05,0.167494,0.832484
256,0.500412,5.77364e-09,0.499588,2.09155e-05,0.167524,0.832455
255,0.500909,5.34348e-09,0.499091,2.00867e-05,0.167554,0.832426
254,0.501406,4.94237e-09,0.498594,1.92844e-05,0.167584,0.832397
253,0.501904,4.56857e-09,0.498096,1.85081e-05,0.167613,0.832368
252,0.502403,4.22041e-09,0.497597,1.77572e-05,0.167643,0.832339
251,0.502903,3.89634e-09,0.497097,1.7031e-05,0.167673,0.83231
250,0.503404,3.59486e-09,0.496596,1.63289e-05,0.167702,0.832281
249,0.503905,3.31458e-09,0.496095,1.56504e-05,0.167732,0.832252
248,0.504407,3.05416e-09,0.495593,1.49949e-05,0.167762,0.832223
247,0.504909,2.81234e-09,0.495091,1.43617e-05,0.167791,0.832194
246,0.505413,2.58794e-09,0.494587,1.37504e-05,0.167821,0.832165
245,0.505917,2.37984e-09,0.494083,1.31604e-05,0.167851,0.832136
244,0.506422,2.18698e-09,0.493578,1.2591e-05,0.16788,0.832107
243,0.506927,2.00835e-09,0.493073,1.20418e-05,0.16791,0.832078
242,0.507434,1.84303e-09,0.492566,1.15123e-05,0.16794,0.832049
241,0.507941,1.69011e-09,0.492059,1.10019e-05,0.167969,0.83202
240,0.508449,1.54877e-09,0.491551,1.051e-05,0.167999,0.83199
239,0.508957,1.41821e-09,0.491043,1.00363e-05,0.168029,0.831961
238,0.509466,1.29771e-09,0.490534,9.58009e-06,0.168058,0.831932
237,0.509977,1.18656e-09,0.490023,9.14099e-06,0.168088,0.831903
236,0.510487,1.08411e-09,0.489513,8.71848e-06,0.168118,0.831874
235,0.510999,9.89745e-10,0.489001,8.3121e-06,0.168147,0.831844
234,0.511511,9.02896e-10,0.488489,7.92138e-06,0.168177,0.831815
233,0.512025,8.23022e-10,0.487975,7.54585e-06,0.168207,0.831786
232,0.512538,7.49618e-10,0.487462,7.18506e-06,0.168236,0.831757
231,0.513053,6.82212e-10,0.486947,6.83858e-06,0.168266,0.831727
230,0.513569,6.2036e-10,0.486431,6.50596e-06,0.168296,0.831698
229,0.514085,5.6365e-10,0.485915,6.18677e-06,0.168325,0.831669
