Temp,"HSN(Si,Ti)@liq","HSN(Ti,Ti)@liquid","HSN(Si,Si)@liquid"
756,-41280.1,43273.1,1.84412e+06
755,-41254.4,43231.3,1.8616e+06
754,-41228.7,43189.5,1.87926e+06
753,-41203.1,43147.8,1.89709e+06
752,-41177.5,43106.1,1.91511e+06
751,-41152,43064.4,1.93332e+06
750,-41126.6,43022.7,1.95171e+06
749,-41101.1,42981.1,1.9703e+06
748,-41075.8,42939.4,1.98907e+06
747,-41050.4,42897.8,2.00805e+06
746,-41025.1,42856.2,2.02722e+06
745,-40999.9,42814.7,2.04659e+06
744,-40974.7,42773.1,2.06616e+06
743,-40949.5,42731.6,2.08594e+06
742,-40924.4,42690.1,2.10593e+06
741,-40899.3,42648.6,2.12613e+06
740,-40874.2,42607.2,2.14655e+06
739,-40849.2,42565.8,2.16718e+06
738,-40824.2,42524.3,2.18804e+06
737,-40799.3,42483,2.20911e+06
736,-40774.4,42441.6,2.23042e+06
735,-40749.5,42400.2,2.25195e+06
734,-40724.7,42358.9,2.27372e+06
733,-40699.9,42317.6,2.29572e+06
732,-40675.1,42276.3,2.31796e+06
731,-40650.4,42235.1,2.34044e+06
730,-40625.7,42193.8,2.36317e+06
729,-40601,42152.6,2.38615e+06
728,-40576.4,42111.4,2.40938e+06
727,-40551.8,42070.3,2.43287e+06
726,-40527.2,42029.1,2.45662e+06
725,-40502.6,41988,2.48063e+06
724,-40478.1,41946.9,2.5049e+06
723,-40453.6,41905.8,2.52945e+06
722,-40429.1,41864.7,2.55428e+06
721,-40404.7,41823.7,2.57938e+06
720,-40380.3,41782.6,2.60476e+06
719,-40355.9,41741.6,2.63043e+06
718,-40331.5,41700.7,2.65639e+06
717,-40307.2,41659.7,2.68265e+06
716,-40282.9,41618.8,2.7092e+06
715,-40258.6,41577.9,2.73606e+06
714,-40234.3,41537,2.76322e+06
713,-40210.1,41496.1,2.7907e+06
712,-40185.9,41455.2,2.81849e+06
711,-40161.7,41414.4,2.84661e+06
710,-40137.5,41373.6,2.87504e+06
709,-40113.3,41332.8,2.90381e+06
708,-40089.2,41292.1,2.93292e+06
707,-40065.1,41251.3,2.96237e+06
706,-40041,41210.6,2.99216e+06
705,-40016.9,41169.9,3.0223e+06
704,-39992.9,41129.2,3.05279e+06
703,-39968.8,41088.6,3.08365e+06
702,-39944.8,41047.9,3.11487e+06
701,-39920.8,41007.3,3.14647e+06
700,-39896.8,40966.7,3.17844e+06
699,-39872.8,40926.2,3.21079e+06
698,-39848.8,40885.6,3.24353e+06
697,-39824.9,40845.1,3.27667e+06
696,-39801,40804.6,3.31021e+06
